,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend,curr_price,return,recommendation,etf
87,"EnLink Midstream, LLC Common Units representing Limited Partner Interests",ENLC,11/01/2024,11/14/2024,0.1325,0.53,15.21,8.71137409598948,hold,
766,Macerich Company (The) Common Stock,MAC,11/12/2024,12/02/2024,0.17,0.68,19.52,8.709016393442623,hold,
815,Brookfield Real Assets Income Fund Inc. Common Stock,RA,11/12/2024,11/27/2024,0.118,1.416,13.55,8.708487084870848,none,
1231,Nuveen Variable Rate Preferred & Income Fund Common Shares,NPFD,11/15/2024,12/02/2024,0.1675,2.01,19.3,8.678756476683937,none,
1251,Artesian Resources Corp. - Class B,ARTNB,11/15/2024,11/25/2024,0.3014,1.2056,34.75,8.673381294964027,none,
887,Kenvue Inc. Common Stock,KVUE,11/13/2024,11/27/2024,0.205,0.82,23.68,8.657094594594595,hold,
839,Middlebury National Corporation,MDVT,11/12/2024,11/15/2024,0.25,1.0,29.0,8.620689655172415,none,
1154,"Pioneer Floating Rate Fund, Inc.",PHD,11/15/2024,12/02/2024,0.085,1.02,9.87,8.61195542046606,none,
402,"Voya Infrastructure, Industrials and Materials Fund Common Shares of Beneficial Interest",IDE,11/01/2024,11/15/2024,0.1,1.2,11.63,8.598452278589853,none,
684,Nomad Foods Limited Ordinary Shares,NOMD,11/08/2024,11/26/2024,0.15,0.6,17.45,8.595988538681949,buy,
793,Pimco Global StocksPlus & Income Fund Common Shares of Beneficial Interest,PGP,11/12/2024,12/02/2024,0.069,0.828,8.06,8.560794044665013,none,
918,"WEC Energy Group, Inc. Common Stock",WEC,11/14/2024,12/01/2024,0.835,3.34,97.59,8.556204529152577,hold,
675,"Lazard, Inc. Common Stock",LAZ,11/08/2024,11/15/2024,0.5,2.0,58.44,8.555783709787818,buy,
1626,Central Pacific Financial Corp New,CPF,11/29/2024,12/16/2024,0.26,1.04,30.4,8.552631578947368,buy,
923,Coterra Energy Inc. Common Stock,CTRA,11/14/2024,11/27/2024,0.21,0.84,24.58,8.54353132628153,buy,
1030,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,GLQ,11/15/2024,11/29/2024,0.0603,0.7236,7.06,8.541076487252125,none,
882,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests,DSL,11/13/2024,11/29/2024,0.11,1.32,12.88,8.540372670807454,hold,
1451,E-mini S&P MidCap 400 Futures ,EMD,11/21/2024,12/02/2024,0.0845,1.014,9.96,8.483935742971887,none,
869,"Consolidated Edison, Inc. Common Stock",ED,11/13/2024,12/16/2024,0.83,3.32,98.13,8.458167736675838,hold,
1321,"Templeton Emerging Markets Income Fund, Inc. Common Stock",TEI,11/18/2024,11/29/2024,0.0475,0.57,5.62,8.451957295373665,none,
1213,Angel Oak Financial Strategies Income Term Trust Common Shares of Beneficial Interest,FINS,11/15/2024,11/29/2024,0.109,1.308,12.94,8.423493044822257,none,
1699,Chesapeake Financial Shares Inc,CPKF,11/29/2024,12/15/2024,0.16,0.64,19.0,8.421052631578947,none,
755,MFS Intermediate High Income Fund Common Stock,CIF,11/12/2024,11/29/2024,0.0149,0.1788,1.77,8.418079096045197,none,
93,First Trust High Yield Opportunities 2027 Term Fund Common Stock,FTHY,11/01/2024,11/25/2024,0.125,1.5,14.85,8.417508417508417,none,
708,Tompkins Financial Corporation Common Stock,TMP,11/08/2024,11/15/2024,0.62,2.48,73.7,8.412483039348711,buy,
947,Artesian Resources Corporation Class A Common Stock,ARTNA,11/15/2024,11/25/2024,0.3014,1.182,35.86,8.404907975460123,strong_buy,
1092,Invesco High Income Trust II,VLT,11/15/2024,11/29/2024,0.0964,1.1568,11.48,8.397212543554007,none,
965,"Eagle Bancorp Montana, Inc. Common Stock",EBMT,11/15/2024,12/06/2024,0.1425,0.57,16.99,8.38728663919953,hold,
1004,Reynolds Consumer Products Inc. Common Stock,REYN,11/15/2024,11/29/2024,0.23,0.92,27.44,8.38192419825073,hold,
756,Virtus Total Return Fund Inc.,ZTR,11/12/2024,11/27/2024,0.05,0.6,5.98,8.361204013377925,none,
1289,"Papa John's International, Inc. Common Stock",PZZA,11/18/2024,11/29/2024,0.46,1.84,55.09,8.349972771827918,buy,
1174,Nuveen Mortgage and Income Fund,JLS,11/15/2024,12/02/2024,0.1535,1.842,18.4218,8.332519080654441,none,
693,Primis Financial Corp. Common Stock,FRST,11/08/2024,11/22/2024,0.1,0.4,12.05,8.29875518672199,strong_buy,
1189,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,BIT,11/15/2024,11/29/2024,0.1237,1.4844,14.91,8.29644533869886,none,
1041,"Standard Motor Products, Inc. Common Stock",SMP,11/15/2024,12/02/2024,0.29,1.16,34.98,8.290451686678102,buy,
1045,"Southwest Gas Holdings, Inc. Common Stock (DE)",SWX,11/15/2024,12/02/2024,0.62,2.48,75.01,8.265564591387815,buy,
948,BankFinancial Corporation Common Stock,BFIN,11/15/2024,11/29/2024,0.1,0.4,12.11,8.257638315441785,buy,
1609,"Tyson Foods, Inc. Common Stock",TSN,11/29/2024,12/13/2024,0.49,1.96,59.59,8.222856183923478,hold,
749,"Essential Utilities, Inc. Common Stock",WTRG,11/12/2024,12/02/2024,0.3255,1.302,39.67,8.205192840937736,buy,
911,"Bar Harbor Bankshares, Inc. Common Stock",BHB,11/14/2024,12/13/2024,0.3,1.2,36.57,8.203445447087777,hold,
813,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV,11/12/2024,11/27/2024,0.18,2.16,21.98,8.18926296633303,hold,
850,Calamos Convertible and High Income Fund Common Stock,CHY,11/13/2024,11/20/2024,0.1,1.2,12.23,8.176614881439084,none,
916,Exxon Mobil Corporation Common Stock,XOM,11/14/2024,12/10/2024,0.99,3.96,121.11,8.174386920980927,buy,
628,Atlantic Union Bankshares Corporation Common Stock,AUB,11/08/2024,11/22/2024,0.34,1.36,41.66,8.161305808929429,buy,
429,"Citigroup, Inc. Common Stock",C,11/04/2024,11/22/2024,0.56,2.24,68.63,8.159696925542766,buy,
1140,Nuveen Preferred & Income Opportunities Fund,JPC,11/15/2024,12/02/2024,0.0665,0.798,8.15,8.159509202453988,none,
1072,Sabine Royalty Trust Common Stock,SBR,11/15/2024,11/29/2024,0.51435,6.1722,63.2,8.138449367088608,none,
1302,Southern Company (The) Common Stock,SO,11/18/2024,12/06/2024,0.72,2.88,88.64,8.12274368231047,buy,
637,Capital Clean Energy Carriers Corp. Common Share,CCEC,11/08/2024,11/15/2024,0.15,0.6,18.5,8.108108108108109,buy,
935,"PGIM Global High Yield Fund, Inc.",GHY,11/14/2024,11/29/2024,0.105,1.26,12.97,8.095605242868157,none,
580,"S&T Bancorp, Inc. Common Stock",STBA,11/07/2024,11/21/2024,0.34,1.36,42.16,8.064516129032258,hold,
1036,International Paper Company Common Stock,IP,11/15/2024,12/16/2024,0.4625,1.85,57.38,8.060299756012547,buy,
782,Pimco Corporate & Income Opportunity Fund,PTY,11/12/2024,12/02/2024,0.1188,1.4256,14.74,8.059701492537313,none,
715,Unilever PLC Common Stock,UL,11/08/2024,12/06/2024,0.4755,1.902,59.0,8.059322033898304,strong_buy,
868,Entergy Corporation Common Stock,ETR,11/13/2024,12/02/2024,1.2,4.8,148.98,8.054772452678213,buy,
771,Pimco Corporate & Income Strategy Fund Common Stock,PCN,11/12/2024,12/02/2024,0.1125,1.35,13.99,8.041458184417442,none,
863,"Superior Group of Companies, Inc. Common Stock",SGC,11/13/2024,11/27/2024,0.14,0.56,17.44,8.027522935779816,strong_buy,
1005,Royalty Pharma plc Class A Ordinary Shares ,RPRX,11/15/2024,12/10/2024,0.21,0.84,26.21,8.012209080503624,buy,
851,Calamos Convertible Opportunities and Income Fund Common Stock,CHI,11/13/2024,11/20/2024,0.095,1.14,11.88,7.9966329966329965,none,
14,Ally Financial Inc. Common Stock,ALLY,11/01/2024,11/15/2024,0.3,1.2,37.56,7.987220447284344,buy,
954,Burke & Herbert Financial Services Corp. Common Stock,BHRB,11/15/2024,12/02/2024,0.55,2.12,68.93,7.9791092412592475,buy,
1557,Johnson & Johnson Common Stock,JNJ,11/26/2024,12/10/2024,1.24,4.96,155.47,7.975815269826977,buy,
612,"Western New England Bancorp, Inc. Common Stock",WNEB,11/07/2024,11/21/2024,0.07,0.28,8.78,7.972665148063782,hold,
445,"HBT Financial, Inc. Common Stock",HBT,11/04/2024,11/12/2024,0.19,0.76,23.86,7.963118189438391,buy,
1022,"Neuberger Berman Real Estate Securities Income Fund, Inc.",NRO,11/15/2024,11/29/2024,0.0312,0.3744,3.93,7.938931297709924,none,
852,Calamos Dynamic Convertible & Income Fund Common Stock,CCD,11/13/2024,11/20/2024,0.195,2.34,24.61,7.923608289313288,none,
1474,Blackstone Senior Floating Rate 2027 Term Fund Common Shares of Beneficial Interest,BSL,11/21/2024,11/29/2024,0.114,1.368,14.42,7.9056865464632455,none,
833,WVS Financial Corp.,WVFC,11/12/2024,11/22/2024,0.1,0.4,12.67,7.892659826361484,none,
1342,ANZ Group Holdings Ltd Sponsored ADR,ANZGY,11/18/2024,12/30/2024,0.164639,0.4459,20.91,7.873696795791488,strong_buy,
634,Blue Owl Capital Inc. Class A Common Stock,OWL,11/08/2024,11/22/2024,0.18,0.72,22.9,7.860262008733625,buy,
1482,Blackstone Long Short Credit Income Fund Common Shares,BGX,11/21/2024,11/29/2024,0.101,1.212,12.85,7.859922178988327,none,
1080,Blackrock Limited Duration Income Trust,BLW,11/15/2024,11/29/2024,0.1132,1.3584,14.46,7.828492392807744,none,
1401,Valero Energy Corporation Common Stock,VLO,11/20/2024,12/20/2024,1.07,4.28,136.69,7.827931816519131,buy,
1032,"Pioneer Diversified High Income Fund, Inc.",HNW,11/15/2024,11/29/2024,0.0975,1.17,12.47,7.8187650360866074,none,
901,LKQ Corporation Common Stock,LKQ,11/14/2024,11/27/2024,0.3,1.2,38.37,7.8186082877247856,buy,
743,International Business Machines Corporation Common Stock,IBM,11/12/2024,12/10/2024,1.67,6.68,213.72,7.813962193524238,hold,
1195,Nuveen Global High Income Fund Common Shares of Beneficial Interest,JGH,11/15/2024,12/02/2024,0.1035,1.242,13.26,7.8054298642533935,none,
1315,Bunge Limited Common Shares,BG,11/18/2024,12/02/2024,0.68,2.72,87.12,7.805325987144169,buy,
1303,The Hershey Company Common Stock,HSY,11/18/2024,12/16/2024,1.37,5.48,175.67,7.798713496897593,hold,
1141,"Blackrock Corporate High Yield Fund, Inc. Common Stock",HYT,11/15/2024,11/29/2024,0.0779,0.9348,9.99,7.797797797797797,none,
1186,Nuveen Preferred Securities & Income Opportunities Fund Common Shares,JPI,11/15/2024,12/02/2024,0.166,1.992,21.29,7.797087834664162,none,
1261,Wal-mart de Mexico S A B de C V ADR,WMMVY,11/15/2024,11/22/2024,0.217584,0.5329,27.92,7.793123209169054,buy,
463,Moelis & Company Class A Common Stock,MC,11/04/2024,12/02/2024,0.6,2.4,77.01,7.791195948578106,hold,
1588,"MillerKnoll, Inc. Common Stock",MLKN,11/29/2024,1/15/2025,0.1875,0.75,24.09,7.783312577833126,hold,
700,"SB Financial Group, Inc. Common Stock",SBFG,11/08/2024,11/22/2024,0.145,0.58,18.67,7.766470273165505,none,
1014,"Timberland Bancorp, Inc. Common Stock",TSBK,11/15/2024,11/29/2024,0.25,0.96,32.2,7.763975155279502,none,
1452,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,EFR,11/21/2024,11/29/2024,0.1,1.2,12.89,7.757951900698215,buy,
482,Westamerica Bancorporation Common Stock,WABC,11/04/2024,11/15/2024,0.44,1.76,56.755,7.752620914456876,hold,
1458,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,EFT,11/21/2024,11/29/2024,0.103,1.236,13.3,7.744360902255639,hold,
529,"Archrock, Inc. Common Stock",AROC,11/06/2024,11/13/2024,0.175,0.7,22.62,7.736516357206012,buy,
1178,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest,GBAB,11/15/2024,11/29/2024,0.12573,1.5088,16.28,7.722972972972973,none,
521,"Princeton Bancorp, Inc. Common Stock (PA)",BPRN,11/05/2024,11/28/2024,0.3,1.2,38.9,7.712082262210798,hold,
1481,Western Asset High Yield Defined Opportunity Fund Inc. Common Stock,HYI,11/21/2024,12/02/2024,0.095,1.14,12.32,7.711038961038961,none,
1343,Mowi ASA ADR - Sponsor,MHGVY,11/18/2024,12/02/2024,0.135827,0.5433,17.67,7.686870401810978,underperform,
523,Shenandoah Telecommunications Co Common Stock,SHEN,11/05/2024,12/02/2024,0.1,0.1,13.03,7.674597083653109,buy,
652,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,EVV,11/08/2024,11/18/2024,0.0791,0.9492,10.32,7.664728682170543,none,
866,CMS Energy Corporation Common Stock,CMS,11/13/2024,11/27/2024,0.515,2.06,67.25,7.657992565055762,buy,
654,Eaton Vance Senior Income Trust Common Stock,EVF,11/08/2024,11/18/2024,0.048,0.576,6.27,7.6555023923444985,none,
1465,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,ETW,11/21/2024,11/29/2024,0.0664,0.7968,8.68,7.649769585253457,none,
1488,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,EXG,11/21/2024,11/29/2024,0.0657,0.7884,8.6,7.63953488372093,none,
1619,First BanCorp. New Common Stock,FBP,11/29/2024,12/13/2024,0.16,0.64,21.07,7.593735168485999,buy,
1606,Coca-Cola Company (The) Common Stock,KO,11/29/2024,12/16/2024,0.485,1.94,63.92,7.5876095118898625,buy,
1165,BlackRock Credit Allocation Income Trust,BTZ,11/15/2024,11/29/2024,0.0839,1.0068,11.06,7.585895117540687,none,
1675,"Mativ Holdings, Inc. Common Stock",MATV,11/29/2024,12/20/2024,0.1,0.4,13.23,7.558578987150415,buy,
512,"IDACORP, Inc. Common Stock",IDA,11/05/2024,12/02/2024,0.86,3.44,113.83,7.555126065184925,buy,
838,Singapore Exchange Limited ADR,SPXCY,11/12/2024,12/02/2024,1.019021,4.0761,134.92,7.552779424844353,none,
576,OP Bancorp Common Stock,OPBK,11/07/2024,11/21/2024,0.12,0.48,15.9,7.547169811320755,buy,
660,"Federated Hermes, Inc. Common Stock",FHI,11/08/2024,11/15/2024,0.31,1.24,41.1,7.542579075425791,buy,
1486,Blackstone Strategic Credit 2027 Term Fund Common Shares of Beneficial Interest,BGB,11/21/2024,11/29/2024,0.093,1.116,12.38,7.512116316639741,none,
1298,"Credit Suisse Asset Management Income Fund, Inc. Common Stock",CIK,11/18/2024,11/22/2024,0.0225,0.27,3.0,7.5,none,
735,Allspring Income Opportunities Fund Common Shares,EAD,11/12/2024,12/02/2024,0.0527,0.6324,7.03,7.496443812233285,none,
1061,"Penske Automotive Group, Inc. Common Stock",PAG,11/15/2024,12/03/2024,1.19,4.76,158.97,7.485689123734038,hold,
1226,Neuberger Berman Next Generation Connectivity Fund Inc. Common Stock,NBXG,11/15/2024,11/29/2024,0.1,1.2,13.37,7.479431563201197,none,
1400,Target Corporation Common Stock,TGT,11/20/2024,12/10/2024,1.12,4.48,149.78,7.477633862999065,buy,
731,Shore Bancshares Inc Common Stock,SHBI,11/12/2024,11/29/2024,0.12,0.48,16.1,7.453416149068322,hold,
1229,Guggenheim Active Allocation Fund Common Shares of Beneficial Interest,GUG,11/15/2024,11/29/2024,0.11875,1.425,15.94,7.449811794228356,none,
910,Zions Bancorporation N.A. Common Stock,ZION,11/14/2024,11/21/2024,0.43,1.64,58.13,7.397213142955445,hold,
1088,BlackRock Income Trust Inc. (The),BKT,11/15/2024,11/29/2024,0.0882,1.0584,11.99,7.356130108423686,none,
754,MFS Intermediate Income Trust Common Stock,MIN,11/12/2024,11/29/2024,0.02008,0.241,2.73,7.355311355311356,none,
1498,"Bank of the James Financial Group, Inc. Common Stock",BOTJ,11/22/2024,12/06/2024,0.1,0.4,13.6,7.352941176470589,none,
832,Keweenaw Financial Corp,KEFI,11/12/2024,12/02/2024,0.44,1.76,60.0,7.333333333333333,none,
934,"PGIM High Yield Bond Fund, Inc.",ISD,11/14/2024,11/29/2024,0.105,1.26,14.34,7.322175732217573,none,
1522,Scorpio Tankers Inc. Common Shares,STNG,11/22/2024,12/13/2024,0.4,1.6,54.67,7.316627034936894,buy,
927,"Fresh Del Monte Produce, Inc. Common Stock",FDP,11/14/2024,12/06/2024,0.25,1.0,34.26,7.297139521307648,buy,
94,First Trust Intermediate Duration Preferred & Income Fund Common Shares of Beneficial Interest,FPF,11/01/2024,11/15/2024,0.1375,1.65,18.93,7.263602746962493,none,
1509,Putnam Premier Income Trust Common Stock,PPT,11/22/2024,12/02/2024,0.026,0.312,3.6,7.222222222222222,none,
1212,Alta Equipment Group Inc. Class A Common Stock,ALTG,11/15/2024,11/29/2024,0.057,0.228,7.91,7.20606826801517,buy,
1464,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,ETB,11/21/2024,11/29/2024,0.1058,1.2696,14.71,7.192386131883073,none,
759,MFS Charter Income Trust Common Stock,MCR,11/12/2024,11/29/2024,0.04595,0.5514,6.39,7.190923317683881,none,
736,Allspring Multi-Sector Income Fund Common Stock,ERC,11/12/2024,12/02/2024,0.0662,0.7944,9.215,7.18393922951709,none,
943,Infinity Bancorp,INFT,11/14/2024,11/29/2024,0.07,0.28,9.753,7.1772787860145595,none,
477,SJW Group Common Stock,SJW,11/04/2024,12/02/2024,0.4,0.0,55.78,7.171029042667623,buy,
751,MFS Multimarket Income Trust Common Stock,MMT,11/12/2024,11/29/2024,0.03418,0.4102,4.77,7.165618448637317,none,
1471,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,EMO,11/21/2024,12/02/2024,0.33,3.96,46.2,7.142857142857142,none,
972,"Fidelity D & D Bancorp, Inc. Common Stock",FDBC,11/15/2024,12/10/2024,0.4,1.52,56.01,7.141581860382075,none,
886,DoubleLine Yield Opportunities Fund Common Shares of Beneficial Interest,DLY,11/13/2024,11/29/2024,0.1167,1.4004,16.4,7.115853658536587,hold,
1414,Fortitude Gold Corp Com,FTCO,11/20/2024,11/29/2024,0.04,0.48,5.623,7.113640405477502,none,
920,UNITIL Corporation Common Stock,UTL,11/14/2024,11/29/2024,0.425,1.7,59.8,7.107023411371237,buy,
1534,Tortoise Sustainable and Social Impact Term Fund Common shares of beneficial interest,TEAF,11/22/2024,11/29/2024,0.09,1.08,12.7,7.086614173228347,none,
1299,Credit Suisse High Yield Bond Fund Common Stock,DHY,11/18/2024,11/22/2024,0.0155,0.186,2.19,7.077625570776256,none,
227,"Lifetime Brands, Inc. Common Stock",LCUT,11/01/2024,11/15/2024,0.0425,0.17,6.02,7.059800664451828,buy,
663,First Commonwealth Financial Corporation Common Stock,FCF,11/08/2024,11/22/2024,0.13,0.52,18.42,7.057546145494028,buy,
884,DoubleLine Opportunistic Credit Fund Common Shares of Beneficial Interest,DBL,11/13/2024,11/29/2024,0.11,1.32,15.61,7.046764894298527,none,
1478,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,ETV,11/21/2024,11/29/2024,0.0993,1.1916,14.11,7.0375620127569105,none,
492,"Civista Bancshares, Inc. Common Stock",CIVB,11/05/2024,11/19/2024,0.16,0.64,22.74,7.036059806508356,buy,
1463,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,EVG,11/21/2024,11/29/2024,0.0792,0.9504,11.26,7.033747779751333,none,
1601,"Virtu Financial, Inc. Class A Common Stock",VIRT,11/29/2024,12/15/2024,0.24,0.96,34.19,7.019596373208541,buy,
1247,"Capital Properties, Inc. - Class A",CPTP,11/15/2024,11/25/2024,0.07,0.28,9.98,7.014028056112224,none,
1545,Robert Half Inc. Common Stock,RHI,11/25/2024,12/13/2024,0.53,2.12,75.74,6.997623448640085,hold,
853,Calamos Global Dynamic Income Fund Common Stock,CHW,11/13/2024,11/20/2024,0.05,0.6,7.15,6.9930069930069925,none,
646,ConocoPhillips Common Stock,COP,11/08/2024,12/02/2024,0.78,3.12,111.59,6.9898736445918095,buy,
1472,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,ETJ,11/21/2024,11/29/2024,0.0651,0.7812,9.32,6.984978540772533,none,
1629,"DNP Select Income Fund, Inc. Common Stock",DNP,11/29/2024,12/10/2024,0.065,0.78,9.35,6.951871657754011,none,
1354,Natural Resource Partners LP Limited Partnership,NRP,11/19/2024,11/26/2024,0.75,3.0,107.99,6.945087508102603,hold,
403,Webster Financial Corporation Common Stock,WBS,11/01/2024,11/12/2024,0.4,1.6,57.7,6.932409012131715,buy,
1316,"Helmerich & Payne, Inc. Common Stock",HP,11/18/2024,12/02/2024,0.25,1.0,36.12,6.921373200442968,hold,
1325,Sprott Inc. Common Shares,SII,11/18/2024,12/03/2024,0.3,1.2,43.35,6.920415224913494,none,
1283,Amgen Inc. Common Stock,AMGN,11/18/2024,12/09/2024,2.25,9.0,325.28,6.917117560255781,buy,
1532,Highland Opportunities and Income Fund Common Shares of Beneficial Interest,HFRO,11/22/2024,11/29/2024,0.0385,0.462,5.57,6.912028725314182,none,
1431,"CenterPoint Energy, Inc (Holding Co) Common Stock",CNP,11/21/2024,12/12/2024,0.21,0.84,30.39,6.910167818361303,hold,
1133,"Pioneer High Income Fund, Inc.",PHT,11/15/2024,11/29/2024,0.055,0.66,7.98,6.8922305764411025,none,
1456,Western Asset Inflation-Linked Opportunities & Income Fund,WIW,11/21/2024,11/29/2024,0.0605,0.726,8.78,6.890660592255125,none,
933,"GAMCO Natural Resources, Gold & Income Trust",GNT,11/14/2024,11/21/2024,0.04,0.48,5.825,6.866952789699571,none,
912,"GAMCO Global Gold, Natural Resources & Income Trust",GGN,11/14/2024,11/21/2024,0.03,0.36,4.3699,6.86514565550699,none,
1701,First Real Estate Investment Trust of New Jersey Inc.,FREVS,11/29/2024,12/13/2024,0.12,0.48,17.5,6.857142857142857,none,
665,First Northwest Bancorp Common Stock,FNWB,11/08/2024,11/22/2024,0.07,0.28,10.21,6.856023506366307,hold,
781,John Hancock Pfd Income Fund II Pfd Income Fund II,HPF,11/12/2024,11/29/2024,0.1235,1.482,18.04,6.8458980044345905,none,
661,"First Bancshares, Inc.",FBMS,11/08/2024,11/22/2024,0.25,1.0,36.56,6.838074398249453,buy,
1621,"Cullen/Frost Bankers, Inc. Common Stock",CFR,11/29/2024,12/13/2024,0.95,3.8,139.17,6.826183803980744,hold,
1322,"Quad Graphics, Inc Class A Common Stock",QUAD,11/18/2024,12/06/2024,0.05,0.2,7.34,6.8119891008174385,strong_buy,
544,Univest Financial Corporation Common Stock,UVSP,11/06/2024,11/20/2024,0.21,0.84,30.84,6.809338521400778,hold,
744,Kennametal Inc. Common Stock,KMT,11/12/2024,11/26/2024,0.2,0.8,29.48,6.784260515603799,hold,
717,"Veritex Holdings, Inc. Common Stock",VBTX,11/08/2024,11/22/2024,0.2,0.8,29.52,6.775067750677507,buy,
854,Calamos Global Total Return Fund Common Stock,CGO,11/13/2024,11/20/2024,0.08,0.96,11.81,6.7739204064352245,none,
777,John Hancock Preferred Income Fund Common Shares of Beneficial Interest,HPI,11/12/2024,11/29/2024,0.1235,1.482,18.29,6.752323674138874,none,
1677,Brookfield Asset Management Inc Class A Limited Voting Shares,BAM,11/29/2024,12/31/2024,0.38,1.52,56.39,6.738783472246852,hold,
786,John Hancock Preferred Income Fund III Preferred Income Fund III,HPS,11/12/2024,11/29/2024,0.11,1.32,16.34,6.731946144430845,none,
1575,ACNB Corporation Common Stock,ACNB,11/29/2024,12/13/2024,0.32,1.28,47.55,6.72975814931651,buy,
515,"MetLife, Inc. Common Stock",MET,11/05/2024,12/16/2024,0.545,2.18,81.02,6.726734139718588,buy,
1524,"NextEra Energy, Inc. Common Stock",NEE,11/22/2024,12/16/2024,0.515,2.06,76.97,6.690918539690789,buy,
1293,The Carlyle Group Inc. Common Stock,CG,11/18/2024,11/25/2024,0.35,1.4,52.33,6.688324097076247,hold,
826,Eagle Point Credit Company Inc. 8.00% Series F Term Preferred Stock due 2029,ECCF,11/12/2024,11/29/2024,0.166667,2.0,24.93,6.685399117529082,none,
1194,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,BST,11/15/2024,11/29/2024,0.25,3.0,37.4,6.684491978609626,none,
698,Saba Capital Income & Opportunities Fund II Shares of Beneficial Interest,SABA,11/08/2024,11/29/2024,0.058,0.696,8.68,6.682027649769585,none,
1510,Putnam Master Intermediate Income Trust Common Stock,PIM,11/22/2024,12/02/2024,0.022,0.264,3.295,6.676783004552353,none,
961,"ConnectOne Bancorp, Inc. Common Stock",CNOB,11/15/2024,12/02/2024,0.18,0.72,26.99,6.669136717302705,buy,
1529,"Bath & Body Works, Inc.",BBWI,11/22/2024,12/06/2024,0.2,0.8,30.0,6.666666666666667,buy,
1644,"Huntington Ingalls Industries, Inc. Common Stock",HII,11/29/2024,12/13/2024,1.35,5.4,202.66,6.661403335636041,hold,
697,"RPC, Inc. Common Stock",RES,11/08/2024,12/10/2024,0.04,0.16,6.01,6.655574043261232,hold,
530,BNY Mellon High Yield Strategies Fund Common Stock,DHF,11/06/2024,11/21/2024,0.0175,0.21,2.63,6.653992395437263,none,
664,"First Community Bankshares, Inc. (VA) Common Stock",FCBC,11/08/2024,11/22/2024,0.31,1.24,46.6,6.652360515021459,hold,
1454,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,ETG,11/21/2024,11/29/2024,0.1293,1.5516,19.47,6.640986132511557,none,
828,Cohen & Steers Real Estate Opportunities and Income Fund Common Shares of Beneficial Interest,RLTY,11/12/2024,11/29/2024,0.11,1.32,16.59,6.630500301386378,none,
532,"Colony Bankcorp, Inc. Common Stock",CBAN,11/06/2024,11/20/2024,0.1125,0.45,17.01,6.613756613756613,buy,
831,Eagle Point Income Company Inc. 8.00% Series C Term Preferred Stock due 2029,EICC,11/12/2024,11/29/2024,0.166667,2.0,25.2086,6.611513531096531,none,
795,"Cohen & Steers Closed-End Opportunity Fund, Inc. Common Stock",FOF,11/12/2024,11/29/2024,0.087,1.044,13.17,6.605922551252847,none,
1305,Pitney Bowes Inc. Common Stock,PBI,11/18/2024,12/06/2024,0.05,0.2,7.58,6.596306068601583,hold,
577,"Paychex, Inc. Common Stock",PAYX,11/07/2024,11/27/2024,0.98,3.92,148.57,6.596217271319917,hold,
950,Berry Corporation (bry) Common Stock,BRY,11/15/2024,11/25/2024,0.03,0.68,4.55,6.593406593406594,hold,
1462,EOS,EOS,11/21/2024,11/29/2024,0.1523,1.8276,23.12,6.587370242214532,none,
1466,"Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,",ETY,11/21/2024,11/29/2024,0.0992,1.1904,15.08,6.5782493368700266,none,
1457,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,ETO,11/21/2024,11/29/2024,0.1733,2.0796,26.35,6.576850094876661,none,
1351,"OFS Credit Company, Inc. 7.875% Series F Term Preferred Stock",OCCIM,11/19/2024,11/29/2024,0.1640625,1.903125,24.97,6.570384461353624,none,
1033,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,NML,11/15/2024,11/29/2024,0.0584,0.7008,8.89,6.569178852643419,none,
1093,Nuveen Pennsylvania Quality Municipal Income Fund Common Stock,NQP,11/15/2024,12/02/2024,0.078,0.936,11.88,6.565656565656565,none,
488,Banner Corporation Common Stock,BANR,11/05/2024,11/15/2024,0.48,1.92,73.23,6.554690700532568,buy,
