,companyName,symbol,dividend_Ex_Date,payment_Date,dividend_Rate,indicated_Annual_Dividend
256,PGIM Municipal Income Opportunities ETF,PMIO,11/01/2024,11/07/2024,0.1791,1.9176
257,PGIM Total Return Bond ETF,PTRB,11/01/2024,11/07/2024,0.1755,2.0461
258,PGIM Ultra Short Bond ETF,PULS,11/01/2024,11/07/2024,0.2146,2.8385
259,PGIM Ultra Short Municipal Bond ETF,PUSH,11/01/2024,11/07/2024,0.1535,1.7412
260,PIMCO 0-5 Year High Yield Corporat Bond Index Exchange-Traded Fund,HYS,11/01/2024,11/05/2024,0.6,6.7477
261,PIMCO 1-5 Year U.S. TIPS Index Exchange-Traded Fund,STPZ,11/01/2024,11/05/2024,0.04,1.362
262,Pimco 15  Year U.S. TIPS Index Exchange-Traded Fund,LTPZ,11/01/2024,11/05/2024,0.08,2.64
263,PIMCO Active Bond Exchange-Traded Fund Exchange-Traded Fund,BOND,11/01/2024,11/05/2024,0.39,4.3338
264,PIMCO Broad U.S. TIPS Index Exchange-Traded Fund,TIPZ,11/01/2024,11/05/2024,0.12,2.8473
265,PIMCO Enhanced Low Duration Active Exchange-Traded Fund,LDUR,11/01/2024,11/05/2024,0.38,4.4585
266,PIMCO Enhanced Short Maturity Active ESG Exchange-Traded Fund,EMNT,11/01/2024,11/05/2024,0.41,4.7469
267,PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,MINT,11/01/2024,11/05/2024,0.43,5.3382
268,PIMCO Intermediate Municipal Bond Active Exchange-Traded Fund,MUNI,11/01/2024,11/05/2024,0.15,1.7843
269,PIMCO Investment Grade Corporate Bond Index Exchange-Traded Fund,CORP,11/01/2024,11/05/2024,0.39,4.3662
270,PIMCO Mortgage-Backed Securities Active Exchange-Traded Fund,PMBS,11/01/2024,11/05/2024,0.26,3.12
271,PIMCO Multisector Bond Active Exchange-Traded Fund,PYLD,11/01/2024,11/05/2024,0.16,1.5563
272,PIMCO Municipal Income Opportunities Active Exchange-Traded Fund,MINO,11/01/2024,11/05/2024,0.15,1.7705
273,PIMCO Preferred and Capital Securities Active Exchange-Traded Fund,PRFD,11/01/2024,11/05/2024,0.25,2.8015
274,PIMCO Senior Loan Active Exchange-Traded Fund,LONZ,11/01/2024,11/05/2024,0.46,3.8862
275,PIMCO Ultra Short Government Active Exchange-Traded Fund,BILZ,11/01/2024,11/05/2024,0.38,4.8351
276,"Pinnacle Financial Partners, Inc. Common Stock",PNFP,11/01/2024,11/29/2024,0.22,0.88
277,Plumas Bancorp,PLBC,11/01/2024,11/15/2024,0.27,1.08
278,Principal Active High Yield ETF,YLD,11/01/2024,11/05/2024,0.11935,1.3161
279,Principal Investment Grade Corporate Active ETF,IG,11/01/2024,11/05/2024,0.086322,1.0128
280,Principal Spectrum Preferred Securities Active ETF,PREF,11/01/2024,11/05/2024,0.073777,0.8522
281,Principal Spectrum Tax-Advantaged Dividend Active ETF,PQDI,11/01/2024,11/05/2024,0.081283,0.9307
282,ProShares Bitcoin & Ether Market Cap Weight ETF,BETH,11/01/2024,11/08/2024,0.262097,21.3164
283,ProShares Bitcoin ETF,BITO,11/01/2024,11/08/2024,0.994112,10.5373
284,ProShares Nasdaq-100 High Income ETF,IQQQ,11/01/2024,11/08/2024,0.104608,1.255296
285,ProShares Short Bitcoin ETF,BITI,11/01/2024,11/08/2024,0.012707,0.2919
286,ProShares Short Ether ETF,SETH,11/01/2024,11/08/2024,0.035973,0.6136
287,ProShares UltraShort Ether ETF,ETHD,11/01/2024,11/08/2024,0.871701,16.1093
288,"Prudential Financial, Inc. 5.625% Junior Subordinated Notes due 2058",PRS,11/01/2024,11/15/2024,0.3515625,1.4062
289,Realty Income Corporation Common Stock,O,11/01/2024,11/15/2024,0.2635,3.162
290,"Regions Financial Corporation Depositary Shares, each Representing a 1/40th Interest in a  Share of 5.700% Fixed-to-Floating Rate Non-Cumulative  Perpetual Preferred Stock, Series C",RF^C,11/01/2024,11/15/2024,0.35625,1.425
291,"RiverNorth Opportunities Fund, Inc. 6.00% Series A Perpetual Preferred Stock",RIV^A,11/01/2024,11/15/2024,0.375,1.5
292,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. 4.375% Series A Cumulative Preferred Stock",OPP^A,11/01/2024,11/15/2024,0.27344,1.0938
293,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. 4.75% Series B Cumulative Preferred Stock",OPP^B,11/01/2024,11/15/2024,0.29688,1.1875
294,Schwab 1-5 Year Corporate Bond ETF,SCHJ,11/01/2024,11/07/2024,0.092,0.9126
295,Schwab 5-10 Year Corporate Bond ETF,SCHI,11/01/2024,11/07/2024,0.1009,1.1226
296,Schwab High Yield Bond ETF,SCYB,11/01/2024,11/07/2024,0.1667,1.9229
297,Schwab Intermediate-Term U.S. Treasury ETF,SCHR,11/01/2024,11/07/2024,0.085,0.8905
298,Schwab Long-Term U.S. Treasury ETF,SCHQ,11/01/2024,11/07/2024,0.1355,1.4142
299,Schwab Municipal Bond ETF,SCMB,11/01/2024,11/07/2024,0.075,0.8546
300,Schwab Short-Term U.S. Treasury ETF,SCHO,11/01/2024,11/07/2024,0.0924,1.0253
301,Schwab U.S. TIPS ETF,SCHP,11/01/2024,11/07/2024,0.0291,0.947
302,Schwab Ultra-Short Income ETF,SCUS,11/01/2024,11/07/2024,0.1016,0.1332
303,Schwab US Aggregate Bond ETF,SCHZ,11/01/2024,11/07/2024,0.0807,0.8684
304,Short Term Municipal Bond Active Exchange-Traded Fund,SMMU,11/01/2024,11/05/2024,0.14,1.5009
305,"Southern States Bancshares, Inc. Common Stock",SSBK,11/01/2024,11/15/2024,0.09,0.36
306,SPDR Blackstone Senior Loan ETF,SRLN,11/01/2024,11/06/2024,0.295656,3.7372
307,SPDR Bloomberg 1-10 Year TIPS ETF,TIPX,11/01/2024,11/06/2024,0.018456,0.8499
308,SPDR Bloomberg 1-3 Month T-Bill ETF,BIL,11/01/2024,11/06/2024,0.358528,4.766
309,SPDR Bloomberg 3-12 Month T-Bill ETF,BILS,11/01/2024,11/06/2024,0.395179,5.1485
310,SPDR Bloomberg Convertible Securities ETF,CWB,11/01/2024,11/06/2024,0.105669,1.3811
311,SPDR Bloomberg Emerging Markets Local Bond ETF,EBND,11/01/2024,11/06/2024,0.101605,1.1561
312,SPDR Bloomberg Emerging Markets USD Bond ETF,EMHC,11/01/2024,11/06/2024,0.117276,1.361
313,SPDR Bloomberg High Yield Bond ETF,JNK,11/01/2024,11/06/2024,0.531467,6.2828
314,SPDR Bloomberg International Corporate Bond ETF,IBND,11/01/2024,11/06/2024,0.065363,0.7306
315,SPDR Bloomberg International Treasury Bond ETF,BWX,11/01/2024,11/06/2024,0.038981,0.4118
316,SPDR Bloomberg Investment Grade Floating Rate ETF,FLRN,11/01/2024,11/06/2024,0.143419,1.8137
317,SPDR Bloomberg Short Term High Yield Bond ETF,SJNK,11/01/2024,11/06/2024,0.155773,1.8853
318,SPDR Bloomberg Short Term International Treasury Bond ETF,BWZ,11/01/2024,11/06/2024,0.063715,0.5918
319,SPDR DoubleLine Total Return Tactical ETF,TOTL,11/01/2024,11/06/2024,0.169994,2.0505
320,SPDR FTSE International Government Inflation-Protected Bond ETF,WIP,11/01/2024,11/06/2024,0.172414,2.3724
321,SPDR ICE Preferred Securities ETF,PSK,11/01/2024,11/06/2024,0.18,2.16
322,SPDR MarketAxess Investment Grade 400 Corporate Bond ETF,LQIG,11/01/2024,11/06/2024,0.4113,5.1084
323,SPDR Nuveen Bloomberg High Yield Municipal Bond ETF,HYMB,11/01/2024,11/06/2024,0.09095,1.0839
324,SPDR Nuveen Bloomberg Municipal Bond ETF,TFI,11/01/2024,11/06/2024,0.11656,1.3259
325,SPDR Nuveen Bloomberg Short Term Municipal Bond ETF,SHM,11/01/2024,11/06/2024,0.094158,0.8406
326,SPDR Portfolio Aggregate Bond ETF,SPAB,11/01/2024,11/06/2024,0.082965,0.9469
327,SPDR Portfolio Corporate Bond ETF,SPBO,11/01/2024,11/06/2024,0.126065,1.4986
328,SPDR Portfolio High Yield Bond ETF,SPHY,11/01/2024,11/06/2024,0.154012,1.8406
329,SPDR Portfolio Intermediate Term Corporate Bond ETF,SPIB,11/01/2024,11/06/2024,0.122133,1.4267
330,SPDR Portfolio Intermediate Term Treasury ETF,SPTI,11/01/2024,11/06/2024,0.090144,1.022
331,SPDR Portfolio Long Term Corporate Bond ETF,SPLB,11/01/2024,11/06/2024,0.097191,1.1414
332,SPDR Portfolio Long Term Treasury ETF,SPTL,11/01/2024,11/06/2024,0.090269,1.0305
333,SPDR Portfolio Mortgage Backed Bond ETF,SPMB,11/01/2024,11/06/2024,0.065866,0.757
334,SPDR Portfolio Short Term Corporate Bond ETF,SPSB,11/01/2024,11/06/2024,0.119583,1.4282
335,SPDR Portfolio Short Term Treasury ETF,SPTS,11/01/2024,11/06/2024,0.103107,1.2089
336,SPDR Portfolio TIPS ETF,SPIP,11/01/2024,11/06/2024,0.02913,1.1435
337,SPDR Portfolio Treasury ETF,SPTB,11/01/2024,11/06/2024,0.112165,1.1835
338,SPDR SSGA Fixed Income Sector Rotation ETF,FISR,11/01/2024,11/06/2024,0.064506,0.8906
339,SPDR SSGA My2026 Corporate Bond ETF,MYCF,11/01/2024,11/06/2024,0.092987,1.115844
340,SPDR SSGA My2026 Municipal Bond ETF,MYMF,11/01/2024,11/06/2024,0.062431,0.749172
341,SPDR SSGA My2027 Corporate Bond ETF,MYCG,11/01/2024,11/06/2024,0.085707,1.028484
342,SPDR SSGA My2027 Municipal Bond ETF,MYMG,11/01/2024,11/06/2024,0.067598,0.811176
343,SPDR SSGA My2028 Corporate Bond ETF,MYCH,11/01/2024,11/06/2024,0.086146,1.033752
344,SPDR SSGA My2028 Municipal Bond ETF,MYMH,11/01/2024,11/06/2024,0.067747,0.812964
345,SPDR SSGA My2029 Corporate Bond ETF,MYCI,11/01/2024,11/06/2024,0.087307,1.047684
346,SPDR SSGA My2029 Municipal Bond ETF,MYMI,11/01/2024,11/06/2024,0.05766,0.69192
347,SPDR SSGA My2030 Corporate Bond ETF,MYCJ,11/01/2024,11/06/2024,0.088946,1.067352
348,SPDR SSGA My2030 Municipal Bond ETF,MYMJ,11/01/2024,11/06/2024,0.066871,0.802452
349,SPDR SSGA My2031 Corporate Bond ETF,MYCK,11/01/2024,11/06/2024,0.092341,1.108092
350,SPDR SSGA My2032 Corporate Bond ETF,MYCL,11/01/2024,11/06/2024,0.093166,1.117992
351,SPDR SSGA My2033 Corporate Bond ETF,MYCM,11/01/2024,11/06/2024,0.094966,1.139592
352,SPDR SSGA My2034 Corporate Bond ETF,MYCN,11/01/2024,11/06/2024,0.096972,1.163664
353,SPDR SSGA Ultra Short Term Bond ETF,ULST,11/01/2024,11/06/2024,0.167697,2.0423
354,TCW Flexible Income ETF,FLXR,11/01/2024,11/04/2024,0.2,2.4756
355,The AES Corporation Common Stock,AES,11/01/2024,11/15/2024,0.1725,0.69
356,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,CGABL,11/01/2024,11/15/2024,0.2890625,1.15625
357,"Thor Industries, Inc. Common Stock",THO,11/01/2024,11/15/2024,0.5,2.0
358,US Treasury 10 Year Note ETF,UTEN,11/01/2024,11/04/2024,0.135621,1.627452
359,US Treasury 12 Month Bill ETF,OBIL,11/01/2024,11/04/2024,0.1606886,1.928263
360,US Treasury 2 Year Note ETF,UTWO,11/01/2024,11/04/2024,0.1347677,1.617212
361,US Treasury 20 Year Bond ETF,UTWY,11/01/2024,11/04/2024,0.1497416,1.796899
362,US Treasury 3 Month Bill ETF,TBIL,11/01/2024,11/04/2024,0.1874148,2.248978
363,US Treasury 3 Year Note ETF,UTRE,11/01/2024,11/04/2024,0.1421443,1.705732
364,US Treasury 30 Year Bond ETF,UTHY,11/01/2024,11/04/2024,0.15047,1.80564
365,US Treasury 5 Year Note ETF,UFIV,11/01/2024,11/04/2024,0.1352423,1.622908
366,US Treasury 6 Month Bill ETF,XBIL,11/01/2024,11/04/2024,0.1762959,2.115551
367,US Treasury 7 Year Note ETF,USVN,11/01/2024,11/04/2024,0.1384787,1.661744
368,VanEck AA-BB CLO ETF,CLOB,11/01/2024,11/06/2024,0.2296,0.0
369,VanEck China Bond ETF,CBON,11/01/2024,11/06/2024,0.0344,0.5573
370,VanEck CLO ETF,CLOI,11/01/2024,11/06/2024,0.2643,3.3225
371,VanEck Emerging Markets High Yield Bond ETF,HYEM,11/01/2024,11/06/2024,0.1107,1.172
372,VanEck Energy Income ETF,EINC,11/01/2024,11/06/2024,0.6649,2.8468
373,VanEck Fallen Angel High Yield Bond ETF,ANGL,11/01/2024,11/06/2024,0.1568,1.8816
374,VanEck Green Bond ETF,GRNB,11/01/2024,11/06/2024,0.083,0.8646
375,VanEck IG Floating Rate ETF,FLTR,11/01/2024,11/06/2024,0.116,1.5694
376,VanEck International High Yield Bond ETF,IHY,11/01/2024,11/06/2024,0.0987,1.1346
377,VanEck J. P. Morgan EM Local Currency Bond ET,EMLC,11/01/2024,11/06/2024,0.1326,1.4127
378,VanEck Preferred Securities ex Financials ETF,PFXF,11/01/2024,11/06/2024,0.0743,1.2474
379,Vanguard Core Bond ETF,VCRB,11/01/2024,11/05/2024,0.2875,3.45
380,Vanguard Core Plus Bond ETF,VPLS,11/01/2024,11/05/2024,0.2866,3.4392
381,Vanguard Emerging Markets Government Bond ETF,VWOB,11/01/2024,11/05/2024,0.352,4.224
382,Vanguard Intermediate-Term Bond ETF,BIV,11/01/2024,11/05/2024,0.246563,2.7749
383,Vanguard Intermediate-Term Corporate Bond ETF,VCIT,11/01/2024,11/05/2024,0.3166,3.7992
384,Vanguard Intermediate-Term Treasury ETF,VGIT,11/01/2024,11/05/2024,0.1855,2.226
385,Vanguard Long-Term Bond ETF,BLV,11/01/2024,11/05/2024,0.27139,3.1812
386,Vanguard Long-Term Corporate Bond ETF,VCLT,11/01/2024,11/05/2024,0.3375,4.05
387,Vanguard Long-Term Treasury ETF,VGLT,11/01/2024,11/05/2024,0.2123,2.5476
388,Vanguard Mortgage-Backed Securities ETF,VMBS,11/01/2024,11/05/2024,0.1529,1.8348
389,Vanguard Short-Term Bond ETF,BSV,11/01/2024,11/05/2024,0.23407,2.5222
390,Vanguard Short-Term Corporate Bond ETF,VCSH,11/01/2024,11/05/2024,0.2741,3.2892
391,Vanguard Short-Term Treasury ETF,VGSH,11/01/2024,11/05/2024,0.2145,2.574
392,Vanguard Tax-Exempt Bond ETF,VTEB,11/01/2024,11/05/2024,0.1312,1.5641
393,Vanguard Total Bond Market ETF,BND,11/01/2024,11/05/2024,0.227631,2.731572
394,Vanguard Total Corporate Bond ETF,VTC,11/01/2024,11/05/2024,0.3001,3.6012
395,Vanguard Total International Bond ETF,BNDX,11/01/2024,11/05/2024,0.098,1.176
396,Vanguard Total World Bond ETF,BNDW,11/01/2024,11/05/2024,0.1767,2.1204
397,Vanguard Wellington Fund Vanguard Short-Term Tax Exempt Bond ETF,VTES,11/01/2024,11/05/2024,0.2501,3.0007
398,Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund Common Shares of Beneficial Interest,IAE,11/01/2024,11/15/2024,0.065,0.78
399,Voya Emerging Markets High Income Dividend Equity Fund Common Shares,IHD,11/01/2024,11/15/2024,0.055,0.66
400,Voya Global Advantage and Premium Opportunity Fund Common Shares of Beneficial Interest,IGA,11/01/2024,11/15/2024,0.085,1.02
401,Voya Global Equity Dividend and Premium Opportunity Fund,IGD,11/01/2024,11/15/2024,0.05,0.6
402,"Voya Infrastructure, Industrials and Materials Fund Common Shares of Beneficial Interest",IDE,11/01/2024,11/15/2024,0.1,1.2
403,Webster Financial Corporation Common Stock,WBS,11/01/2024,11/12/2024,0.4,1.6
404,"WesBanco, Inc. Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.75% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",WSBCP,11/01/2024,11/15/2024,0.421875,1.6875
405,Western Asset Bond ETF,WABF,11/01/2024,11/06/2024,0.119588,1.435056
406,Western Asset Short Duration Income ETF,WINC,11/01/2024,11/06/2024,0.098,1.176
407,Western Asset Total Return ETF,WBND,11/01/2024,11/06/2024,0.052621,0.631452
408,"Western Midstream Partners, LP Common Units Representing Limited Partner Interests",WES,11/01/2024,11/14/2024,0.875,3.5
409,Xtrackers California Municipal Bonds ETF,CA,11/01/2024,11/08/2024,0.06444,0.77328
410,Xtrackers High Beta High Yield Bond ETF,HYUP,11/01/2024,11/08/2024,0.272,3.187
411,Xtrackers Low Beta High Yield Bond ETF,HYDW,11/01/2024,11/08/2024,0.1887,2.6087
412,Xtrackers Municipal Infrastructure Revenue Bond ETF,RVNU,11/01/2024,11/08/2024,0.0673,0.7444
413,Xtrackers Risk Managed USD High Yield Strategy ETF,HYRM,11/01/2024,11/08/2024,0.1211,1.3853
414,Xtrackers Short Duration High Yield Bond ETF,SHYL,11/01/2024,11/08/2024,0.2696,3.2094
415,Xtrackers USD High Yield Corporate Bond ETF,HYLB,11/01/2024,11/08/2024,0.1922,2.1939
416,AllianceBernstein Holding L.P.  Units,AB,11/04/2024,11/21/2024,0.77,3.08
417,AMCON Distributing Company Common Stock,DIT,11/04/2024,11/13/2024,0.18,0.72
418,"Ameriprise Financial, Inc. Common Stock",AMP,11/04/2024,11/15/2024,1.48,5.92
419,AmeriServ Financial Inc. Common Stock,ASRV,11/04/2024,11/18/2024,0.03,0.12
420,ATAC Credit Rotation ETF,JOJO,11/04/2024,11/06/2024,0.0727,0.7009
421,Baker Hughes Company Class A Common Stock,BKR,11/04/2024,11/14/2024,0.21,0.84
422,Barings Corporate Investors Common Stock,MCI,11/04/2024,11/15/2024,0.4,1.6
423,Barings Participation Investors Common Stock,MPV,11/04/2024,11/15/2024,0.37,1.48
424,Brinks Company (The) Common Stock,BCO,11/04/2024,12/02/2024,0.2425,0.97
425,"Capital Bancorp, Inc. Common Stock",CBNK,11/04/2024,11/20/2024,0.1,0.4
426,"Carriage Services, Inc. Common Stock",CSV,11/04/2024,12/02/2024,0.1125,0.45
427,"Cheniere Energy Partners, LP Common Units",CQP,11/04/2024,11/14/2024,0.035,3.1
428,"Cheniere Energy Partners, LP Common Units",CQP,11/04/2024,11/14/2024,0.775,3.1
429,"Citigroup, Inc. Common Stock",C,11/04/2024,11/22/2024,0.56,2.24
430,CLPS Incorporation Common Stock,CLPS,11/04/2024,11/12/2024,0.13,0.0
431,Core Laboratories Inc. Common Stock,CLB,11/04/2024,11/25/2024,0.01,0.04
432,CrossAmerica Partners LP Common Units representing limited partner interests,CAPL,11/04/2024,11/13/2024,0.525,2.1
433,"East West Bancorp, Inc. Common Stock",EWBC,11/04/2024,11/15/2024,0.55,2.2
434,"Eaton Corporation, PLC Ordinary Shares",ETN,11/04/2024,11/22/2024,0.94,3.76
435,Energy Transfer L.P. Series I Fixed Rate Perpetual Preferred Units,ET^I,11/04/2024,11/14/2024,0.2111,0.8444
436,Exchange Akros Monthly Payout ETF,MPAY,11/04/2024,11/05/2024,0.1478,1.6483
437,"First Interstate BancSystem, Inc. Common Stock (DE)",FIBK,11/04/2024,11/14/2024,0.47,1.88
438,Five Star Bancorp Common Stock,FSBC,11/04/2024,11/12/2024,0.2,0.8
439,Goldman Sachs Nasdaq-100 Core Premium Income ETF,GPIQ,11/04/2024,11/08/2024,0.41367,4.96404
440,Goldman Sachs S&P 500 Core Premium Income ETF,GPIX,11/04/2024,11/08/2024,0.34272,4.11264
441,Hanmi Financial Corporation Common Stock,HAFC,11/04/2024,11/20/2024,0.25,1.0
442,Harbor Disciplined Bond ETF,AGGS,11/04/2024,11/07/2024,0.17701,1.7777
443,Harbor Scientific Alpha High-Yield ETF,SIHY,11/04/2024,11/07/2024,0.301,3.4142
444,Harbor Scientific Alpha Income ETF,SIFI,11/04/2024,11/07/2024,0.2181,2.5004
445,"HBT Financial, Inc. Common Stock",HBT,11/04/2024,11/12/2024,0.19,0.76
446,"Healthpeak Properties, Inc. Common Stock",DOC,11/04/2024,11/15/2024,0.3,1.2
447,"HealthStream, Inc. Common Stock",HSTM,11/04/2024,11/15/2024,0.028,0.112
448,Hingham Institution for Savings Common Stock,HIFS,11/04/2024,11/13/2024,0.63,2.52
449,Investcorp Europe Acquisition Corp I Class A Ordinary Shares,IVCB,11/04/2024,11/12/2024,0.6,0.0
450,iREIT - MarketVector Quality REIT Index ETF,IRET,11/04/2024,11/06/2024,0.0899,1.05
451,iShares Core Conservative Allocation ETF,AOK,11/04/2024,11/07/2024,0.075199,1.1539
452,iShares Inflation Hedged High Yield Bond ETF,HYGI,11/04/2024,11/07/2024,0.139852,1.6242
453,iShares Inflation Hedged U.S. Aggregate Bond ETF,AGIH,11/04/2024,11/07/2024,0.075913,0.8641
454,iShares Interest Rate Hedged Corporate Bond ETF,LQDH,11/04/2024,11/07/2024,0.545827,7.7955
455,iShares Interest Rate Hedged High Yield Bond ETF,HYGH,11/04/2024,11/07/2024,0.550718,7.3852
456,iShares Interest Rate Hedged Long-Term Corporate Bond ETF,IGBH,11/04/2024,11/07/2024,0.144408,1.8032
457,iShares Interest Rate Hedged U.S. Aggregate Bond ETF,AGRH,11/04/2024,11/07/2024,0.106665,1.3539
458,iShares LifePath Retirement ETF,IRTR,11/04/2024,11/07/2024,0.056962,0.8786
459,iShares LifePath Target Date 2025 ETF,ITDA,11/04/2024,11/07/2024,0.6317,0.235
460,iShares Yield Optimized Bond ETF,BYLD,11/04/2024,11/07/2024,0.103612,1.1284
461,KKR & Co. Inc. Common Stock,KKR,11/04/2024,11/19/2024,0.175,0.7
462,"Lake Shore Bancorp, Inc. Common Stock",LSBK,11/04/2024,11/08/2024,0.18,0.0
463,Moelis & Company Class A Common Stock,MC,11/04/2024,12/02/2024,0.6,2.4
464,Morgan Stanley Direct Lending Fund Common Stock,MSDL,11/04/2024,1/24/2025,0.1,2.0
465,Murphy USA Inc. Common Stock,MUSA,11/04/2024,12/02/2024,0.48,1.92
466,NVE Corporation Common Stock,NVEC,11/04/2024,11/29/2024,1.0,4.0
467,NXG Cushing Midstream Energy Fund Common Shares of Beneficial Interest,SRV,11/04/2024,11/29/2024,0.45,5.4
468,OceanFirst Financial Corp. Common Stock,OCFC,11/04/2024,11/15/2024,0.2,0.8
469,"Omega Healthcare Investors, Inc. Common Stock",OHI,11/04/2024,11/15/2024,0.67,2.68
470,Pacific Premier Bancorp Inc,PPBI,11/04/2024,11/12/2024,0.33,1.32
471,Panagram AAA CLO ETF,CLOX,11/04/2024,11/08/2024,0.12697361,1.5602
472,Panagram BBB-B CLO ETF,CLOZ,11/04/2024,11/08/2024,0.22545975,2.3513
473,Peoples Bancorp Inc. Common Stock,PEBO,11/04/2024,11/18/2024,0.4,1.6
474,Pinnacle West Capital Corporation Common Stock,PNW,11/04/2024,12/02/2024,0.895,3.58
475,"Postal Realty Trust, Inc. Class A Common Stock",PSTL,11/04/2024,11/29/2024,0.24,0.96
476,Sensient Technologies Corporation Common Stock,SXT,11/04/2024,12/02/2024,0.41,1.64
477,SJW Group Common Stock,SJW,11/04/2024,12/02/2024,0.4,0.0
478,Synchrony Financial Common Stock,SYF,11/04/2024,11/15/2024,0.25,1.0
479,"Synchrony Financial Depositary Shares Each Representing a 1/40th Interest in a Share of 8.250% Fixed Rate Reset Non-Cumulative Perpetual Preferred Stock, Series B",SYF^B,11/04/2024,11/15/2024,0.515625,2.0625
480,"Synchrony Financial Depositary Shares, each Representing a 1/40th Interest in a Share of 5.625% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",SYF^A,11/04/2024,11/15/2024,0.351563,1.4063
481,Vulcan Materials Company (Holding Company) Common Stock,VMC,11/04/2024,11/27/2024,0.46,1.84
482,Westamerica Bancorporation Common Stock,WABC,11/04/2024,11/15/2024,0.44,1.76
483,Whitestone REIT Common Shares,WSR,11/04/2024,11/14/2024,0.04125,0.495
484,1st Source Corporation Common Stock,SRCE,11/05/2024,11/15/2024,0.36,1.44
485,Amalgamated Financial Corp. Common Stock (DE),AMAL,11/05/2024,11/21/2024,0.12,0.48
486,Banco Bradesco Sa American Depositary Shares,BBD,11/05/2024,12/12/2024,0.003325,0.0399
487,Banco Bradesco Sa American Depositary Shares (each representing one Common Share),BBDO,11/05/2024,12/12/2024,0.003023,0.0363
488,Banner Corporation Common Stock,BANR,11/05/2024,11/15/2024,0.48,1.92
489,"Berry Global Group, Inc. Common Stock",BERY,11/05/2024,11/04/2024,5.8162203,1.24
490,"Byline Bancorp, Inc. Common Stock",BY,11/05/2024,11/19/2024,0.09,0.36
491,Cadence Bank 5.50% Series A ,CADE^A,11/05/2024,11/20/2024,0.34375,1.375
492,"Civista Bancshares, Inc. Common Stock",CIVB,11/05/2024,11/19/2024,0.16,0.64
493,"Constellation Brands, Inc. Common Stock",STZ,11/05/2024,11/21/2024,1.01,4.04
494,Dorian LPG Ltd. Common Stock,LPG,11/05/2024,11/25/2024,1.0,0.0
495,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,DLNG^A,11/05/2024,11/12/2024,0.5625,2.25
496,FB Financial Corporation Common Stock,FBK,11/05/2024,11/19/2024,0.17,0.68
497,Global X 1-3 Month T-Bill ETF,CLIP,11/05/2024,11/13/2024,0.401,2.9168
498,Global X Alternative Income ETF,ALTY,11/05/2024,11/13/2024,0.073,0.876
499,Global X Emerging Markets Bond ETF,EMBD,11/05/2024,11/13/2024,0.1,1.2637
500,Global X Interest Rate Hedge ETF,RATE,11/05/2024,11/13/2024,0.02,5.9527
501,Global X Interest Rate Volatility & Inflation Hedge ETF,IRVH,11/05/2024,11/13/2024,0.0343,0.6546
502,Global X MSCI SuperDividend EAFE ETF,EFAS,11/05/2024,11/13/2024,0.076,0.912
503,Global X MSCI SuperDividend Emerging Markets ETF,SDEM,11/05/2024,11/13/2024,0.145,1.781
504,Global X S&P 500 Quality Dividend ETF,QDIV,11/05/2024,11/13/2024,0.083,1.0341
505,Global X Super Dividend ETF,DIV,11/05/2024,11/13/2024,0.0855,1.0725
506,Global X SuperDividend ETF,SDIV,11/05/2024,11/13/2024,0.192,2.364
507,Global X SuperDividend REIT ETF,SRET,11/05/2024,11/13/2024,0.155,1.86
508,Global X SuperIncome Preferred ETF,SPFF,11/05/2024,11/13/2024,0.046,0.5635
509,Global X U.S. Cash Flow Kings 100 ETF,FLOW,11/05/2024,11/13/2024,0.0534,0.6676
510,Global X U.S. Preferred ETF,PFFD,11/05/2024,11/13/2024,0.1025,1.2575
511,Global X Variable Rate Preferred ETF,PFFV,11/05/2024,11/13/2024,0.146,1.7592
512,"IDACORP, Inc. Common Stock",IDA,11/05/2024,12/02/2024,0.86,3.44
513,Independent Bank Corporation Common Stock,IBCP,11/05/2024,11/15/2024,0.24,0.96
514,Las Vegas Sands Corp. Common Stock,LVS,11/05/2024,11/13/2024,0.2,0.8
515,"MetLife, Inc. Common Stock",MET,11/05/2024,12/16/2024,0.545,2.18
516,Ocean Park High Income ETF,DUKH,11/05/2024,11/12/2024,0.1182,1.4184
517,"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series A Preferred Stock",ONBPP,11/05/2024,11/20/2024,0.4375,1.75
518,"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series C Preferred Stock",ONBPO,11/05/2024,11/20/2024,0.4375,1.75
519,Orrstown Financial Services Inc Common Stock,ORRF,11/05/2024,11/12/2024,0.23,0.92
520,Primo Water Corporation Common Stock,PRMW,11/05/2024,11/21/2024,0.82,0.36
521,"Princeton Bancorp, Inc. Common Stock (PA)",BPRN,11/05/2024,11/28/2024,0.3,1.2
522,"Select Water Solutions, Inc. Class A common stock",WTTR,11/05/2024,11/15/2024,0.07,0.28
